title,type,question,A,B,C,D,answer,image
BAB 9.1,radio,Malaysia memberikan komitmen dan kerjasama yg penuh kpd PBB sejajar dgn pendirian Malaysia dlm soal antarabangsa iaitu,hidup bersama secara aman,mengawasi gencatan senjata,membaiki taraf hidup penduduk,meningkatkan kerjasama ketenteraan,D,
,radio,,,,,,,
,radio,,,,,,,
,radio,,,,,,,
,radio,,,,,,,
,radio,,,,,,,
,radio,,,,,,,
,radio,,,,,,,
,radio,,,,,,,
,radio,,,,,,,
,radio,,,,,,,
,radio,,,,,,,
,radio,,,,,,,
,radio,,,,,,,
,radio,,,,,,,
,radio,,,,,,,
